,date,province,confirmed,cured,dead,nowc
143,2020-01-23,新疆维吾尔自治区,2,0,0,2
144,2020-01-23,台湾省,1,0,0,1
145,2020-01-23,香港特别行政区,2,0,0,2
146,2020-01-23,澳门特别行政区,2,0,0,2
147,2020-01-24,北京市,36,0,0,36
148,2020-01-24,天津市,8,0,0,8
149,2020-01-24,河北省,8,0,1,7
150,2020-01-24,山西省,6,0,0,6
151,2020-01-24,内蒙古自治区,2,0,0,2
152,2020-01-24,辽宁省,12,0,0,12
153,2020-01-24,吉林省,4,0,0,4
154,2020-01-24,黑龙江省,9,0,1,8
155,2020-01-24,上海市,33,1,0,32
156,2020-01-24,江苏省,18,1,0,17
157,2020-01-24,浙江省,62,1,0,61
158,2020-01-24,安徽省,39,0,0,39
159,2020-01-24,福建省,10,0,0,10
160,2020-01-24,江西省,18,0,0,18
161,2020-01-24,山东省,21,0,0,21
162,2020-01-24,河南省,32,0,0,32
163,2020-01-24,湖北省,729,32,39,658
164,2020-01-24,湖南省,43,0,0,43
165,2020-01-24,广东省,78,2,0,76
166,2020-01-24,广西壮族自治区,23,0,0,23
167,2020-01-24,海南省,17,0,0,17
168,2020-01-24,重庆市,57,0,0,57
169,2020-01-24,四川省,28,0,0,28
170,2020-01-24,贵州省,4,0,0,4
171,2020-01-24,云南省,5,0,0,5
172,2020-01-24,陕西省,15,0,0,15
173,2020-01-24,甘肃省,4,0,0,4
174,2020-01-24,青海省,0,0,0,0
175,2020-01-24,宁夏回族自治区,3,0,0,3
176,2020-01-24,新疆维吾尔自治区,3,0,0,3
177,2020-01-24,台湾省,3,0,0,3
178,2020-01-24,香港特别行政区,5,0,0,5
179,2020-01-24,澳门特别行政区,2,0,0,2
180,2020-01-25,北京市,41,0,0,41
181,2020-01-25,天津市,10,0,0,10
182,2020-01-25,河北省,13,0,1,12
183,2020-01-25,山西省,9,0,0,9
184,2020-01-25,内蒙古自治区,7,0,0,7
185,2020-01-25,辽宁省,16,0,0,16
186,2020-01-25,吉林省,4,0,0,4
187,2020-01-25,黑龙江省,15,0,1,14
188,2020-01-25,上海市,40,1,1,38
189,2020-01-25,江苏省,31,1,0,30
190,2020-01-25,浙江省,104,1,0,103
191,2020-01-25,安徽省,60,0,0,60
192,2020-01-25,福建省,18,0,0,18
193,2020-01-25,江西省,36,0,0,36
194,2020-01-25,山东省,39,0,0,39
195,2020-01-25,河南省,83,0,1,82
196,2020-01-25,湖北省,1052,42,52,958
197,2020-01-25,湖南省,69,0,0,69
198,2020-01-25,广东省,98,2,0,96
199,2020-01-25,广西壮族自治区,33,0,0,33
200,2020-01-25,海南省,22,0,0,22
201,2020-01-25,重庆市,75,0,0,75
202,2020-01-25,四川省,44,0,0,44
203,2020-01-25,贵州省,5,0,0,5
204,2020-01-25,云南省,11,0,0,11
205,2020-01-25,陕西省,22,0,0,22
206,2020-01-25,甘肃省,7,0,0,7
207,2020-01-25,青海省,1,0,0,1
